Training model 1/3
Epoch:2/80 Batch:9/106 Train Loss:1.8746
Epoch:2/80 Batch:10/106 Train Loss:1.7079
Epoch:2/80 Batch:11/106 Train Loss:1.7687
Epoch:2/80 Batch:12/106 Train Loss:1.7308
Epoch:2/80 Batch:13/106 Train Loss:1.8878
Epoch:2/80 Batch:14/106 Train Loss:1.8826
Epoch:2/80 Batch:15/106 Train Loss:1.9065
Epoch:2/80 Batch:16/106 Train Loss:1.8643
Epoch:2/80 Batch:17/106 Train Loss:1.8746
Epoch:2/80 Batch:18/106 Train Loss:1.6710
Epoch:2/80 Batch:19/106 Train Loss:1.8293
Epoch:2/80 Batch:20/106 Train Loss:1.7005
Epoch:2/80 Batch:21/106 Train Loss:1.8135
Epoch:2/80 Batch:22/106 Train Loss:1.9551
Epoch:2/80 Batch:23/106 Train Loss:1.8695
Epoch:2/80 Batch:24/106 Train Loss:1.8427
Epoch:2/80 Batch:25/106 Train Loss:1.6868
Epoch:2/80 Batch:26/106 Train Loss:1.9233
Epoch:2/80 Batch:27/106 Train Loss:1.8151
Epoch:2/80 Batch:28/106 Train Loss:1.7867
Epoch:2/80 Batch:29/106 Train Loss:1.7943
Epoch:2/80 Batch:30/106 Train Loss:1.7864
Epoch:2/80 Batch:31/106 Train Loss:1.6975
Epoch:2/80 Batch:32/106 Train Loss:1.6431
Epoch:2/80 Batch:33/106 Train Loss:1.8087
Epoch:2/80 Batch:34/106 Train Loss:1.8471
Epoch:2/80 Batch:35/106 Train Loss:1.7856
Epoch:2/80 Batch:36/106 Train Loss:1.6139
Epoch:2/80 Batch:37/106 Train Loss:1.7605
Epoch:2/80 Batch:38/106 Train Loss:1.7999
Epoch:2/80 Batch:39/106 Train Loss:1.6771
Epoch:2/80 Batch:40/106 Train Loss:1.7951
Epoch:2/80 Batch:41/106 Train Loss:1.6147
Epoch:2/80 Batch:42/106 Train Loss:1.7313
Epoch:2/80 Batch:43/106 Train Loss:1.6102
Epoch:2/80 Batch:44/106 Train Loss:1.8827
Epoch:2/80 Batch:45/106 Train Loss:1.8646
Epoch:2/80 Batch:46/106 Train Loss:1.6352
Epoch:2/80 Batch:47/106 Train Loss:1.9028
